KT                                      A001      1         Y         A001                Y                               
«—≈Îø•¥Âƒﬁ                              A002      1         N         A001                N                               
LGU+                                    A003      1         Y         A003                Y                               
Ω≈ºº±‚≈ÎΩ≈                              A004      9         N         A005                N                               
SKT                                     A005      9         Y         A005                Y                               
KT-PCS                                  A006      1         Y         A001                N                               
