시스템관리자                            SYSM                                              Y                               
KAIT 직원                               KAIT                                              Y                               
KAIT 전산보조                           KASY                                              Y                               
콜센터 상담                             KACL                                              Y                               
콜센터 점검반                           KAIP                                              Y                               
콜센터 사은품                           KAGI                                              Y                               
