서울                                    01        02                                      Y                               
경기                                    02        031                                     Y                               
인천                                    03        032                                     Y                               
강원                                    04        033                                     Y                               
충남                                    05        041                                     Y                               
대전                                    06        042                                     Y                               
충북                                    07        043                                     Y                               
부산                                    08        051                                     Y                               
울산                                    09        052                                     Y                               
대구                                    10        053                                     Y                               
경북                                    11        054                                     Y                               
경남                                    12        055                                     Y                               
전남                                    13        061                                     Y                               
광주                                    14        062                                     Y                               
전북                                    15        063                                     Y                               
제주                                    16        064                                     Y                               
