분실습득 IMEI (Duplicate)               11                                                Y                               
IMEI KEY 오류                           12                                                Y                               
사업자식별코드 오류                     13                                                Y                               
등록사유일자 오류                       14                                                Y                               
등록사유코드 오류                       15                                                Y                               
등록(조회)자 ID 오류                    16                                                Y                               
분실습득 IMEI (Not Found)               17                                                Y                               
모델명 오류                             18                                                Y                               
모델일련번호 오류                       19                                                Y                               
등록사유시각 오류                       20                                                Y                               
(수정,해지,삭제)사업자 오류             98                                                Y                               
기타 오류                               99                                                Y                               
