PCS                                     1                                                 Y                               
셀룰러                                  2                                                 Y                               
일반전화기                              3                                                 Y                               
카폰                                    4                                                 Y                               
씨티폰                                  5                                                 Y                               
유사품                                  6                                                 Y                               
기타                                    9                                                 Y                               
