강릉시                                  001       강원도                                  Y                               
고성군                                  002       강원도                                  Y                               
동해시                                  003       강원도                                  Y                               
삼척시                                  004       강원도                                  Y                               
속초시                                  005       강원도                                  Y                               
양구군                                  006       강원도                                  Y                               
양양군                                  007       강원도                                  Y                               
영월군                                  008       강원도                                  Y                               
원주시                                  009       강원도                                  Y                               
인제군                                  010       강원도                                  Y                               
정선군                                  011       강원도                                  Y                               
철원군                                  012       강원도                                  Y                               
춘천시                                  013       강원도                                  Y                               
태백시                                  014       강원도                                  Y                               
평창군                                  015       강원도                                  Y                               
홍천군                                  016       강원도                                  Y                               
화천군                                  017       강원도                                  Y                               
횡성군                                  018       강원도                                  Y                               
가평군                                  019       경기도                                  Y                               
고양시 덕양구                           020       경기도                                  Y                               
고양시 일산동구                         021       경기도                                  Y                               
고양시 일산서구                         022       경기도                                  Y                               
과천시                                  023       경기도                                  Y                               
광명시                                  024       경기도                                  Y                               
광주시                                  025       경기도                                  Y                               
구리시                                  026       경기도                                  Y                               
군포시                                  027       경기도                                  Y                               
김포시                                  028       경기도                                  Y                               
남양주시                                029       경기도                                  Y                               
동두천시                                030       경기도                                  Y                               
부천시 소사구                           031       경기도                                  Y                               
부천시 오정구                           032       경기도                                  Y                               
부천시 원미구                           033       경기도                                  Y                               
성남시 분당구                           034       경기도                                  Y                               
성남시 수정구                           035       경기도                                  Y                               
성남시 중원구                           036       경기도                                  Y                               
수원시 권선구                           037       경기도                                  Y                               
수원시 영통구                           038       경기도                                  Y                               
수원시 장안구                           039       경기도                                  Y                               
수원시 팔달구                           040       경기도                                  Y                               
시흥시                                  041       경기도                                  Y                               
안산시 단원구                           042       경기도                                  Y                               
안산시 상록구                           043       경기도                                  Y                               
안성시                                  044       경기도                                  Y                               
안양시 동안구                           045       경기도                                  Y                               
안양시 만안구                           046       경기도                                  Y                               
양주시                                  047       경기도                                  Y                               
양평군                                  048       경기도                                  Y                               
여주시                                  049       경기도                                  Y                               
연천군                                  050       경기도                                  Y                               
오산시                                  051       경기도                                  Y                               
용인시 기흥구                           052       경기도                                  Y                               
용인시 수지구                           053       경기도                                  Y                               
