서울지방경찰청                          O0000002  O0000001                                Y                               
부산지방경찰청                          O0000267  O0000001                                Y                               
대구지방경찰청                          O0000469  O0000001                                Y                               
인천지방경찰청                          O0000544  O0000001                                Y                               
광주지방경찰청                          O0000618  O0000001                                Y                               
대전지방경찰청                          O0000664  O0000001                                Y                               
울산지방경찰청                          O0000696  O0000001                                Y                               
경주지방경찰청                          O0000731  O0000001                                Y                               
강원지방경찰청                          O0001073  O0000001                                Y                               
충북지방경찰청                          O0001200  O0000001                                Y                               
충남지방경찰청                          O0001303  O0000001                                Y                               
전북지방경찰청                          O0001434  O0000001                                Y                               
전남지방경찰청                          O0001609  O0000001                                Y                               
경북지방경찰청                          O0001845  O0000001                                Y                               
경남지방경찰청                          O0002184  O0000001                                Y                               
제주지방경찰청                          O0002377  O0000001                                Y                               
