G920KW_64G                              6074      1         S                             Y                               
SM-G925KW                               6075      1         S                             Y                               
G925K_64G                               6076      1         S                             Y                               
G925KW_64G                              6077      1         S                             Y                               
SM-G920KBK                              6079      1         S                             Y                               
SM-G920KBE                              6080      1         S                             Y                               
SM-G920KWWE                             6081      1         S                             Y                               
SM-G920KWGD                             6082      1         S                             Y                               
G920K_64GBK                             6083      1         S                             Y                               
G920K_64GBE                             6084      1         S                             Y                               
G920KW_64GWE                            6085      1         S                             Y                               
G920KW_64GGD                            6086      1         S                             Y                               
SM-G925KBK                              6087      1         S                             Y                               
SM-G925KGN                              6088      1         S                             Y                               
SM-G925KWWE                             6089      1         S                             Y                               
SM-G925KWGD                             6090      1         S                             Y                               
G925K_64GBK                             6091      1         S                             Y                               
G925K_64GGN                             6092      1         S                             Y                               
G925KW_64GWE                            6093      1         S                             Y                               
G925KW_64GGD                            6094      1         S                             Y                               
G925K_128G                              6143      1         S                             Y                               
G925K_128GGN                            6149      1         S                             Y                               
G925KIR_64G                             6153      1         S                             Y                               
G925KIR_64GRD                           6155      1         S                             Y                               
IPAD MINI 2_GREEN                       6256      1         P                             Y                               
N920KGD_64G                             6295      1         S                             Y                               
N920KGD_64GGD                           6298      1         S                             Y                               
LG-H791                                 6336      1         S                             YLG 넥서스5X(16G)^              
SM-N920KSR                              6347      1         S                             Y                               
N920KSR_64G                             6348      1         S                             Y                               
SM-N920KSRSR                            6349      1         S                             Y                               
N920KSR_64GSR                           6350      1         S                             Y                               
IPAD MINI4_128G                         6574      1         P                             Y                               
IPAD MINI4_128GG                        6575      1         P                             Y                               
IPAD MINI4_128GW                        6576      1         P                             Y                               
IPAD MINI4_16G                          6577      1         P                             Y                               
IPAD MINI4_16G_DEMO                     6578      1         P                             Y                               
IPAD MINI4_16GG                         6579      1         P                             Y                               
IPAD MINI4_16GG_DEMO                    6580      1         P                             Y                               
IPAD MINI4_16GW                         6581      1         P                             Y                               
IPAD MINI4_16GW_DEMO                    6582      1         P                             Y                               
IPAD MINI4_64G                          6583      1         P                             Y                               
IPAD MINI4_64GG                         6584      1         P                             Y                               
IPAD MINI4_64GW                         6585      1         P                             Y                               
N920KPK_64G                             6645      1         S                             Y                               
N920KPK_64GPK                           6646      1         S                             Y                               
P.AVN3.0 KOR                            6671      1                                       Y                               
BU 9907K                                6679      1                                       Y                               
N920K_128G                              6714      1                                       Y                               
N920K_128GGD                            6715      1                                       Y                               
N920K_128GSR                            6716      1                                       Y                               
G930KGD_64G                             6746      1         S         Y         20160221  Y갤럭시S7(64G)                  
G935KGD_64G                             6747      1         S         Y         20160221  Y갤럭시S7엣지(64G)              
G935KGD_64GGD                           6748      1         S         Y         20160221  Y갤럭시S7엣지(64G골드)          
G930KGD_64GGD                           6749      1         S         Y         20160221  Y갤럭시S7(64G골드)              
EV-LINE II-5-K                          6827      1                   Y         20160331  Y미출시                         
IPAD_PRO_128G_DEMO                      6905      1                                       Y                               
IPAD_PRO_128GG_DEMO                     6906      1                                       Y                               
IPAD_PRO_128GW_DEMO                     6907      1                                       Y                               
IPAD_PRO_256G                           6908      1                                       Y                               
IPAD_PRO_256GG                          6909      1                                       Y                               
IPAD_PRO_256GW                          6910      1                                       Y                               
AH 230                                  AC01      9                                       Y                               
AH 320                                  AC02      9                                       Y                               
AUTO 폴더                               AD42      9                                       Y                               
CDMA ONE C111SA                         AD49      9                                       Y                               
MICRO TAC SC-720                        AJ72      9                                       Y                               
STAR TAC-85                             AJ78      9                                       Y                               
STAR TAC-S1                             AJ79      9                                       Y                               
832PIUS II                              AR04      9                                       Y                               
Multitac SC3160                         AW15      9                                       Y                               
SAT SERIES 9551                         CO01      9                                       Y                               
METRO IRIDIUM(ST7760)                   CO02      9                                       Y                               
MICROI S250                             DA04      9                                       Y                               
NOKIA 8887                              DA08      9                                       Y                               
MICROI S701                             DA23      9                                       Y                               
MOTO 226                                DA24      9                                       Y                               
MICROI S702                             DA27      9                                       Y                               
MOTO 62                                 DA28      9                                       Y                               
MOTO 62R                                DA39      9                                       Y                               
NOKIA 8587                              DA80      9                                       Y                               
MYCUBE V100                             DB64      9                                       Y                               
ST 2004SE                               DB68      9                                       Y                               
NOKIA 8577                              DB70      9                                       Y                               
NOKIA 8878                              DB78      9                                       Y                               
HTC TOUCH DIAMOND                       DE53      9         S                             Y                               
HTC DESIRE                              DF37      9         S                             Y                               
X10 MINI                                DF71      9         S                             Y                               
HTC WILDFIRE(DESIRE POP)                DF85      9         S                             Y                               
PEARL 3G                                DF97      9         S                             Y                               
X10 MINI PRO                            DG03      9         S                             Y                               
TORCH 9800                              DG12      9         S                             Y                               
HTC CHACHA                              DG84      9         S                             Y                               
OMD DEFAULT 핸드셋                      DI52      9                                       Y                               
IPAD AIR_16G                            DK05      9         P                             Y                               
IPAD AIR_16GW                           DK06      9         P                             Y                               
IPAD AIR_32G                            DK07      9         P                             Y                               
IPAD AIR_32GW                           DK08      9         P                             Y                               
IPAD AIR_64G                            DK09      9         P                             Y                               
IPAD AIR_64GW                           DK10      9         P                             Y                               
IPAD AIR_128G                           DK11      9         P                             Y                               
IPAD AIR_128GW                          DK12      9         P                             Y                               
IPAD AIR_16G_DEMO                       DK13      9         P                             Y                               
IPAD AIR_16GW_DEMO                      DK14      9         P                             Y                               
IPAD MINI RETINA_16G                    DK15      9         P                             Y                               
IPAD MINI RETINA_16GW                   DK16      9         P                             Y                               
IPAD MINI RETINA_32G                    DK17      9         P                             Y                               
IPAD MINI RETINA_32GW                   DK18      9         P                             Y                               
IPAD MINI RETINA_64G                    DK19      9         P                             Y                               
IPAD MINI RETINA_64GW                   DK20      9         P                             Y                               
IPAD MINI RETINA_128G                   DK21      9         P                             Y                               
IPAD MINI RETINA_128GW                  DK22      9         P                             Y                               
IPAD MINI RETINA_16G_DEMO               DK23      9         P                             Y                               
IPAD MINI RETINA_16GW_DEMO              DK24      9         P                             Y                               
IPAD AIR2_16G                           DK25      9         P                             Y                               
IPAD AIR2_16GW                          DK26      9         P                             Y                               
IPAD AIR2_16GG                          DK27      9         P                             Y                               
IPAD AIR2_64G                           DK28      9         P                             Y                               
IPAD AIR2_64GW                          DK29      9         P                             Y                               
IPAD AIR2_64GG                          DK30      9         P                             Y                               
IPAD AIR2_128G                          DK31      9         P                             Y                               
IPAD AIR2_128GW                         DK32      9         P                             Y                               
IPAD AIR2_128GG                         DK33      9         P                             Y                               
IPAD AIR2_16G_DEMO                      DK34      9         P                             Y                               
IPAD AIR2_16GW_DEMO                     DK35      9         P                             Y                               
IPAD AIR2_16GG_DEMO                     DK36      9         P                             Y                               
IPAD MINI3_16G                          DK37      9         P                             Y                               
IPAD MINI3_16GW                         DK38      9         P                             Y                               
IPAD MINI3_16GG                         DK39      9         P                             Y                               
IPAD MINI3_64G                          DK40      9         P                             Y                               
IPAD MINI3_64GW                         DK41      9         P                             Y                               
IPAD MINI3_64GG                         DK42      9         P                             Y                               
IPAD MINI3_128G                         DK43      9         P                             Y                               
IPAD MINI3_128GW                        DK44      9         P                             Y                               
IPAD MINI3_128GG                        DK45      9         P                             Y                               
IPAD MINI3_16G_DEMO                     DK46      9         P                             Y                               
IPAD MINI3_16GW_DEMO                    DK47      9         P                             Y                               
IPAD MINI3_16GG_DEMO                    DK48      9         P                             Y                               
OMD APPLE VOLTE                         DL21      9         S         Y         20151001  YSKT 아이폰6 자급제             
SM-G925SS0_64GSE                        DL22      9         S                             Y                               
OMD APPLE VOLTE_6S                      DL90      9         S         Y         20151023  Y아이폰6S(자급제용)             
IPHONE SE_16G                           DN72      9         S         Y         20160510  Y아이폰SE(16G)                  
IPHONE SE_16GW                          DN73      9         S         Y         20160510  Y아이폰SE(16G화이트)            
IPHONE SE_64G                           DN74      9         S         Y         20160510  Y아이폰SE(64G)                  
IPHONE SE_64GW                          DN75      9         S         Y         20160510  Y아이폰SE(64G화이트)            
IPHONE SE_16GG                          DN76      9         S         Y         20160510  Y아이폰SE(16G골드)              
IPHONE SE_16GR                          DN77      9         S         Y         20160510  Y아이폰SE(16G로즈골드)          
IPHONE SE_64GG                          DN78      9         S         Y         20160510  Y아이폰SE(64G골드)              
IPHONE SE_64GR                          DN79      9         S         Y         20160510  Y아이폰SE(64G로즈골드)          
IPHONE SE_16GR_DEMO                     DO69      9         S                   20160510  Y                               
IPHONE SE_16GG_DEMO                     DO70      9         S                   20160510  Y                               
IPHONE SE_16GW_DEMO                     DO71      9         S                   20160510  Y                               
IPHONE SE_16G_DEMO                      DO72      9         S                   20160510  Y                               
IPAD PRO 9.7_32G_DEMO                   DP11      9         P                   20160429  Y                               
IPAD PRO 9.7_256GR                      DP12      9         P                   20160429  Y                               
IPAD PRO 9.7_256GG                      DP13      9         P                   20160429  Y                               
IPAD PRO 9.7_256GW                      DP14      9         P                   20160429  Y                               
IPAD PRO 9.7_256G                       DP15      9         P                   20160429  Y                               
IPAD PRO 9.7_128GR                      DP16      9         P                   20160429  Y                               
IPAD PRO 9.7_128GG                      DP17      9         P                   20160429  Y                               
IPAD PRO 9.7_128GW                      DP18      9         P                   20160429  Y                               
IPAD PRO 9.7_128G                       DP19      9         P                   20160429  Y                               
IPAD PRO 9.7_32GR                       DP20      9         P                   20160429  Y                               
IPAD PRO 9.7_32GG                       DP21      9         P                   20160429  Y                               
IPAD PRO 9.7_32GW                       DP22      9         P                   20160429  Y                               
IPAD PRO 9.7_32G                        DP23      9         P                   20160429  Y                               
IPAD PRO 9.7_32GR_DEMO                  DP24      9         P                   20160429  Y                               
IPAD PRO 9.7_32GG_DEMO                  DP25      9         P                   20160429  Y                               
IPAD PRO 9.7_32GW_DEMO                  DP26      9         P                   20160429  Y                               
키프로스(CYP_PRIME TEL)                 DP35      9                             20160421  Y                               
(MVNO)KICC LTE MODEM                    DP39      9                             20160419  Y                               
NEOBOX M104A                            DP77      9                             20160310  Y                               
(MVNO) MCDTG 100 오픈SNS                DP89      9                             20160226  Y                               
NEOBOX M106A                            DP90      9                             20160223  Y                               
OAE MX400B                              DP91      9                             20160223  Y                               
OMD LGLTE핸드셋_VOLTE                   DP92      9         S                   20160222  Y                               
IPAD PRO_128GG                          DQ05      9         P                   20160115  Y                               
IPAD PRO_128GW                          DQ06      9         P                   20160115  Y                               
IPAD PRO_128G                           DQ07      9         P                   20160115  Y                               
OMD 기타LTE핸드셋_VOLTE                 DQ26      9         S                   20151210  Y                               
WEGUARDIA FML50                         DQ81      9                             20151104  Y                               
OMD APPLE LTE-A태블릿                   DQ86      9         S                   20151026  Y                               
WEGUARDIA FMH100                        DS01      9                             20151019  Y                               
XTMLITE W                               DS02      9                             20151019  Y                               
NEOBOX M106P                            DS05      9                             20151008  Y                               
(MVNO)CYNUS F6_유니컴즈                 DS32      9                             20150807  Y                               
WATERMIND ANALYZER                      DS57      9                             20150703  Y                               
(MVNO)CYNUS F6_프리텔레콤               DS74      9                             20150609  Y                               
XPDA-S PCI-MU                           DS87      9                             20150522  Y                               
NEOBOX M102C                            DS88      9                             20150522  Y                               
OMD 삼성LTE태블릿_VOLTE                 DT49      9         P                   20150213  Y                               
OMD 삼성LTE핸드셋_VOLTE                 DT55      9         S                   20150205  Y                               
OMD SONY Z3 TABLET COMPACT              DV15      9                             20141212  Y                               
(MVNO)CYNUS F6_스마텔                   DV17      9                             20141201  Y                               
OMD DEFAULT 핸드셋_3G HD VOICE          DW14      9         S                   20140925  Y                               
NEOBOX M102                             DW36      9                             20140806  Y                               
AXEGATE 40M                             DW47      9                             20140728  Y                               
LIVON 9907W2                            DW71      9                             20140627  Y                               
LTE 핸드셋_개인인증                     DX10      9                             20140512  Y                               
XPDA-S PCI                              DX24      9                             20140421  Y                               
MOPAD 70A                               DX30      9                             20140411  Y                               
OMD 기타LTE PC                          DX63      9                             20140120  Y                               
OMD 기타LTE태블릿_음성가능              DX64      9                             20140120  Y                               
OMD 기타3G태블릿_음성가능               DX65      9                             20140120  Y                               
피지 (FJ9)                              DX71      9                             20140107  Y                               
OMD ZTE LTE태블릿                       DX72      9                             20140101  Y                               
OMD ZTE 3G태블릿                        DX73      9                             20140101  Y                               
OMD ZTE LTE모뎀                         DX74      9                             20140101  Y                               
OMD ZTE 3G모뎀                          DX75      9                             20140101  Y                               
OMD ZTE LTE핸드셋                       DX76      9                             20140101  Y                               
OMD ZTE 3G핸드셋                        DX77      9                             20140101  Y                               
OMD SONY LTE모뎀                        DX78      9                             20140101  Y                               
OMD SONY 3G모뎀                         DX79      9                             20140101  Y                               
OMD SONY LTE태블릿                      DX80      9                             20140101  Y                               
OMD SONY 3G태블릿                       DX81      9                             20140101  Y                               
OMD SONY LTE핸드셋                      DX82      9                             20140101  Y                               
OMD SONY 3G핸드셋                       DX83      9                             20140101  Y                               
OMD 화웨이 LTE태블릿                    DX84      9                             20140101  Y                               
OMD 화웨이 3G태블릿                     DX85      9                             20140101  Y                               
OMD 화웨이 LTE모뎀                      DX86      9                             20140101  Y                               
OMD 화웨이 3G모뎀                       DX87      9                             20140101  Y                               
OMD 화웨이 LTE핸드셋                    DX88      9                             20140101  Y                               
OMD 화웨이 3G핸드셋                     DX89      9                             20140101  Y                               
OMD 팬택LTE모뎀                         DX90      9                             20140101  Y                               
OMD 팬택3G모뎀                          DX91      9                             20140101  Y                               
OMD 팬택LTE태블릿                       DX92      9                             20140101  Y                               
OMD 팬택3G태블릿                        DX93      9                             20140101  Y                               
OMD 팬택LTE핸드셋                       DX94      9                             20140101  Y                               
OMD 팬택3G핸드셋                        DX95      9                             20140101  Y                               
OMD 삼성LTE모뎀                         DX96      9                             20140101  Y                               
OMD 삼성3G모뎀                          DX97      9                             20140101  Y                               
OMD 삼성LTE태블릿                       DX98      9                             20140101  Y                               
OMD 삼성3G태블릿                        DX99      9                             20140101  Y                               
OMD 삼성LTE핸드셋                       DY01      9                             20140101  Y                               
OMD 삼성3G핸드셋                        DY02      9                             20140101  Y                               
OMD RIM LTE모뎀                         DY03      9                             20140101  Y                               
OMD RIM 3G모뎀                          DY04      9                             20140101  Y                               
OMD RIM LTE태블릿                       DY05      9                             20140101  Y                               
OMD RIM 3G태블릿                        DY06      9                             20140101  Y                               
OMD RIM LTE핸드셋                       DY07      9                             20140101  Y                               
OMD RIM 3G핸드셋                        DY08      9                             20140101  Y                               
OMD 노키아 LTE태블릿                    DY09      9                             20140101  Y                               
OMD 노키아 3G태블릿                     DY10      9                             20140101  Y                               
OMD 노키아 LTE모뎀                      DY11      9                             20140101  Y                               
OMD 노키아 3G모뎀                       DY12      9                             20140101  Y                               
OMD 노키아 LTE핸드셋                    DY13      9                             20140101  Y                               
OMD 노키아 3G핸드셋                     DY14      9                             20140101  Y                               
OMD 모토로라LTE태블릿                   DY15      9                             20140101  Y                               
OMD 모토로라3G태블릿                    DY16      9                             20140101  Y                               
OMD 모토로라LTE핸드셋                   DY17      9                             20140101  Y                               
OMD 모토로라3G핸드셋                    DY18      9                             20140101  Y                               
OMD 모토로라LTE모뎀                     DY19      9                             20140101  Y                               
OMD 모토로라3G모뎀                      DY20      9                             20140101  Y                               
OMD LGLTE모뎀                           DY21      9                             20140101  Y                               
OMD LG3G모뎀                            DY22      9                             20140101  Y                               
OMD LGLTE태블릿                         DY23      9                             20140101  Y                               
OMD LG3G태블릿                          DY24      9                             20140101  Y                               
OMD LGLTE핸드셋                         DY25      9                             20140101  Y                               
OMD LG3G핸드셋                          DY26      9                             20140101  Y                               
OMD HTC LTE모뎀                         DY27      9                             20140101  Y                               
OMD HTC 3G모뎀                          DY28      9                             20140101  Y                               
OMD HTC LTE태블릿                       DY29      9                             20140101  Y                               
OMD HTC 3G태블릿                        DY30      9                             20140101  Y                               
OMD HTC LTE핸드셋                       DY31      9                             20140101  Y                               
OMD HTC 3G핸드셋                        DY32      9                             20140101  Y                               
OMD 기타LTE모뎀                         DY33      9                             20140101  Y                               
OMD 기타3G모뎀                          DY34      9                             20140101  Y                               
OMD 기타LTE태블릿                       DY35      9                             20140101  Y                               
OMD 기타3G태블릿                        DY36      9                             20140101  Y                               
OMD 기타LTE핸드셋                       DY37      9                             20140101  Y                               
OMD 기타3G핸드셋                        DY38      9                             20140101  Y                               
OMD 피쳐폰                              DY39      9                             20140101  Y                               
OMD APPLE LTE모뎀                       DY41      9                             20140101  Y                               
OMD APPLE 3G모뎀                        DY42      9                             20140101  Y                               
OMD APPLE LTE태블릿                     DY43      9                             20140101  Y                               
OMD APPLE 3G태블릿                      DY44      9                             20140101  Y                               
OMD APPLE 3G핸드셋                      DY45      9                             20140101  Y                               
TRANSPORT WR21                          DY60      9                             20131204  Y                               
태국 (DTN)                              DY61      9                             20131129  Y                               
르완다 (RW8)                            DY62      9                             20131129  Y                               
크로아티아 (TL2)                        DY63      9                             20131129  Y                               
SMART KEEPER                            DY65      9                             20131128  Y                               
AXGATE 40                               DY66      9                             20131128  Y                               
SMART HOLE                              DY70      9                             20131125  Y                               
NEOBOX M113                             DY84      9                             20131113  Y                               
(MVNO)USIM 단독2                        EA46      9                             20130826  Y                               
LTE 태블릿/노트 음성불가_개인인증       EA50      9                             20130822  Y                               
LTE 태블릿/노트 음성가능_개인인증       EA72      9                             20130703  Y                               
(MVNO)MCDTG 100                         EA79      9                             20130625  Y                               
WMA 3G                                  EB33      9                             20130404  Y                               
IPAD RETINA_128GW                       EB58      9         P                   20130222  Y                               
IPAD RETINA_128G                        EB59      9         P                   20130222  Y                               
IPAD RETINA(UT)_128GW                   EB60      9         P                   20130222  Y                               
IPAD RETINA(UT)_128G                    EB61      9         P                   20130222  Y                               
LIVON 9907W                             EB79      9                             20130118  Y                               
IPAD RETINA(UT)_64GW                    EC06      9         P                   20121214  Y                               
IPAD RETINA(UT)_32GW                    EC07      9         P                   20121214  Y                               
IPAD RETINA(UT)_16GW                    EC08      9         P                   20121214  Y                               
IPAD RETINA(UT)_64G                     EC09      9         P                   20121214  Y                               
IPAD RETINA(UT)_16G                     EC10      9         P                   20121214  Y                               
IPAD MINI(UT)_64GW                      EC11      9         P                   20121214  Y                               
IPAD MINI(UT)_32GW                      EC12      9         P                   20121214  Y                               
IPAD MINI(UT)_16GW                      EC13      9         P                   20121214  Y                               
IPAD MINI(UT)_64G                       EC14      9         P                   20121214  Y                               
IPAD MINI(UT)_32G                       EC15      9         P                   20121214  Y                               
IPAD MINI(UT)_16G                       EC16      9         P                   20121214  Y                               
IPAD LTE_개인인증                       EC48      9         P                   20121207  Y                               
IPAD MINI_16GW_DEMO                     EC55      9         P                   20121130  Y                               
IPAD MINI_16G_DEMO                      EC56      9         P                   20121130  Y                               
IPAD MINI_64GW                          EC57      9         P                   20121130  Y                               
IPAD MINI_32GW                          EC58      9         P                   20121130  Y                               
IPAD MINI_16GW                          EC59      9         P                   20121130  Y                               
IPAD MINI_64G                           EC60      9         P                   20121130  Y                               
IPAD MINI_32G                           EC61      9         P                   20121130  Y                               
IPAD MINI_16G                           EC62      9         P                   20121130  Y                               
IPAD RETINA_16GW_DEMO                   EC72      9         P                   20121126  Y                               
IPAD RETINA_16G_DEMO                    EC73      9         P                   20121126  Y                               
IPAD RETINA_64GW                        EC74      9         P                   20121126  Y                               
IPAD RETINA_32GW                        EC75      9         P                   20121126  Y                               
IPAD RETINA_16GW                        EC76      9         P                   20121126  Y                               
IPAD RETINA_64G                         EC77      9         P                   20121126  Y                               
IPAD RETINA_32G                         EC78      9         P                   20121126  Y                               
IPAD RETINA_16G                         EC79      9         P                   20121126  Y                               
MCDTG 100                               EC87      9                             20121029  Y                               
RLTE_LTE로밍 TEST                       EC99      9                             20121011  Y                               
파로에 제도(FRT)                        ED21      9                             20120829  Y                               
단순MVNO OMD(TABLET)                    ED28      9                             20120813  Y                               
단순MVNO OMD(HANDSET)                   ED29      9                             20120813  Y                               
케이맨 제도(CYM)                        ED35      9                             20120730  Y                               
버진 군도 영국(VGB)                     ED37      9                             20120730  Y                               
성 빈센트(VC7)                          ED38      9                             20120730  Y                               
턱스 앤 케이코스(TCA)                   ED39      9                             20120730  Y                               
세인트 루시아(LCA)                      ED41      9                             20120730  Y                               
세인트 키츠 앤 네비스(KNA)              ED42      9                             20120730  Y                               
도미니카 연방(DMA)                      ED44      9                             20120730  Y                               
MVNO 가상단말                           EE64      9                             20111208  Y                               
GALAXY NOTE_개인인증                    EE74      9                             20111124  Y                               
CW30(WINDOW MOBILE 6.5)                 EE76      9                             20111122  Y                               
(MVNO)FEATUREPHONE_NO MMS               EF15      9                             20111024  Y                               
SMART W50                               EF31      9                             20111020  Y                               
DESIRE 16G                              EG22      9                             20110422  Y                               
해외수입 BLACKBERRY_NO MMS              EG37      9                             20110314  Y                               
(MVNO)해외수입 BLACKBERRY_NO MMS        EG38      9                             20110314  Y                               
해외수입 BLACKBERRY_MMS                 EG45      9                             20110304  Y                               
(MVNO)해외수입 BLACKBERRY_MMS           EG46      9                             20110304  Y                               
CDM-P212N V3.0                          EG50      9                             20110302  Y                               
해외수입 TABLET_DATA ONLY               EG54      9                             20110225  Y                               
해외수입 TABLET                         EG55      9                             20110225  Y                               
(MVNO)해외수입단말_NO MMS               EG56      9                             20110225  Y                               
(MVNO)해외수입 TABLET_DATA ONLY         EG57      9                             20110225  Y                               
(MVNO)해외수입 TABLET                   EG58      9                             20110225  Y                               
NOKIA E72-1(TEST)                       EG65      9                             20110216  Y                               
X10 MINI_개인인증                       EG69      9                             20110214  Y                               
VIVAZ PRO(U8I)_개인인증                 EG73      9                             20110208  Y                               
DESIRE HD_개인인증                      EG74      9                             20110131  Y                               
GALAXY 5(GT-15500)_개인인증             EG75      9                             20110128  Y                               
BOLD 9780_개인인증                      EG81      9                             20110125  Y                               
NEXUS S(GT-I9020)_개인인증              EG98      9                             20101217  Y                               
PALM PRE 2_TEST                         EH02      9                             20101209  Y                               
GALAXY TAB_개인인증                     EH04      9                             20101207  Y                               
(LGT)SHW-M130L(T STORE)                 EH18      9                             20101124  Y                               
6212 CLASSIC_개인인증                   EH30      9                             20101012  Y                               
KCT 가상단말                            EH37      9                             20101005  Y                               
TORCH 9800_개인인증                     EH57      9                             20100909  Y                               
DROID X-개인인증                        EH63      9                             20100831  Y                               
PALM PRE_개인인증                       EH72      9                             20100809  Y                               
VERSACE UNIQUE_개인인증                 EH73      9                             20100802  Y                               
3120 CLASSIC_개인인증                   EH75      9                             20100726  Y                               
MBOOK SE(3G)                            EH98      9                             20100531  Y                               
IJ SMC-ZC-01                            EI08      9                             20100506  Y                               
BOLD 9700_개인인증                      EI42      9                             20100302  Y                               
HERO A6262                              EI85      9                             20091203  Y                               
M3 POS                                  EJ44      9                             20090820  Y                               
CDM-C211 V2.5                           EJ68      9                             20090717  Y                               
CDM-C211 V3.0                           EJ69      9                             20090717  Y                               
네덜란드령 안틸레스제도(DGA)            EJ71      9                             20090715  Y                               
CDM-P212A V3.0                          EK15      9                             20090508  Y                               
CDM-P212A V2.5                          EK16      9                             20090508  Y                               
EXRION V2                               EK63      9                             20090226  Y                               
MY-IVI M                                EK95      9                             20090113  Y                               
MY-IVI T                                EK96      9                             20090113  Y                               
CDM-C211 V2                             EL77      9                             20080822  Y                               
X5 T                                    EM27      9                             20080701  Y                               
리히텐 슈타인(OA9)                      EM29      9                             20080630  Y                               
NOKIA N95                               EM58      9                             20080515  Y                               
MB 3000E                                EM68      9                             20080425  Y                               
MB 3000P                                EN25      9                             20080218  Y                               
MB 7000                                 EN33      9                             20080201  Y                               
MB 7000P                                EN37      9                             20080129  Y                               
MB 3000                                 EN93      9                             20071105  Y                               
HP IPAQ 612                             EN99      9                             20071024  Y                               
LOCK 해제 TEST                          EO13      9                             20070821  Y                               
MERLIN U530                             EP03      9                             20070703  Y                               
LG KS10                                 EP08      9                             20070629  Y                               
MERLIN V620                             EP56      9                             20070510  Y                               
필리핀 (PHL)                            EQ31      9                             20070103  Y                               
VERIZON WIRELESS                        EQ73      9                             20061017  Y                               
NGM TEST2(3G)                           EQ76      9                             20061001  Y                               
NGM 로밍TEST 3G                         EQ80      9                             20060926  Y                               
MD본부(PDA 테스트)                      ER17      9                             20060713  Y                               
NGM TEST                                ER38      9                             20060602  Y                               
NGM 로밍TEST                            ER39      9                             20060602  Y                               
VK-X200 임시                            ER44      9                             20060515  Y                               
LG VX8100                               ER65      9                             20060323  Y                               
LG VX8000                               ER66      9                             20060323  Y                               
MACAU (MCU)                             ES11      9                             20051026  Y                               
NTT DOCOMO(WCDMA)                       ES31      9                             20050727  Y                               
MTN NETWORKS                            ET17      9                             20041015  Y                               
ORANGE AG                               ET22      9                             20041015  Y                               
AS EMT                                  ET23      9                             20041015  Y                               
Saudi Arabia                            ET63      9                             20040518  Y                               
Serbia and Montenegro                   ET64      9                             20040518  Y                               
HONG KONG                               ET97      9                             20031121  Y                               
DST GSM1 BRUNEI                         EU35      9                             20030611  Y                               
NTT JAPAN                               EU37      9                             20030603  Y                               
