I BOOK                                  0162      1                                       Y^                              
SS HANDS FREE                           0223      1                                       Y^                              
I ROVER                                 0414      1                                       Y^                              
NA TRUCA                                0434      1                                       Y                               
MICROI S88L                             0435      1                                       Y^                              
H/F SCH-1100                            1101      1                                       Y^                              
I PARK                                  1801      1                                       Y^                              
TEST MODEL_1X                           2102      1                                       Y^                              
HTC-A6363                               4175      1         S                             Y                               
HTC-A9191                               4217      1         S                             Y                               
AIP-N16                                 4235      1         S                             Y                               
AIP-N32                                 4236      1         S                             Y                               
HTC-P515E                               4280      1         S                             Y                               
HTC-X515E                               4281      1         S                             Y                               
HTC-S710E                               4283      1         S                             Y                               
M380K_16G                               4288      1         P                             Y                               
M380K_32G                               4289      1         P                             Y                               
SHV-E160K                               4357      1         S                             Y                               
SHV-E160KW                              4358      1         S                             Y                               
HTC-X315E                               4361      1         S                             Y                               
SHV-E160L                               4363      1         S                             Y^                              
E160K_16G                               4372      1         S                             Y                               
E160KW_16G                              4373      1         S                             Y                               
SHV-E160L16                             4387      1         S                             Y^                              
E140K_16G                               4415      1         P                             Y                               
E140K_32G                               4416      1         P                             Y                               
SHV-E210K                               4423      1         S                             Y                               
SHV-E210KW                              4427      1         S                             Y                               
E210K_16G                               4434      1         S                             Y                               
E210KW_16G                              4435      1         S                             Y                               
SHV-E250K                               4443      1         S                             Y                               
SHV-E250KG                              4444      1         S                             Y                               
E250K_64G                               4445      1         S                             Y                               
E250KG_64G                              4446      1         S                             Y                               
SHV-E210KP                              4450      1         S                             Y                               
E210KP_16G                              4451      1         S                             Y                               
E210KB_16G                              4487      1         S                             Y                               
SHV-E250KB                              4501      1         S                             Y                               
SHV-E250KR                              4503      1         S                             Y                               
SHV-E250KP                              4615      1         S                             Y                               
SHV-E160KB32                            4667      1         S                             Y                               
SHV-E120KW                              4668      1         S                             Y                               
SHV-E120KS                              4669      1         S                             Y                               
M460D_OMD                               4735      1         S                             Y                               
E330K_16G                               5366      1         S                             Y                               
E330KW_16G                              5367      1         S                             Y                               
E330KD_16G                              5490      1         S                             Y                               
E330KD_16GBK                            5491      1         S                             Y                               
OMD_SAMSUNGGalaxy S5 LTE                5510      1         S                             Y                               
OMD SONY Z2                             5595      1         S                             Y                               
TEST_VOLTE UICC 6                       5596      1                                       Y                               
OMD_SAMSUNGGalaxy K Zoom                5664      1         S                             Y                               
OMD_SAMSUNGGalaxy Express 2             5665      1         S                             Y                               
OMD_XIAOMI_3GRedmi Note                 5690      1         S                             Y                               
OMD_SONYXPERIA C3                       5717      1         S                             Y                               
OMD_SAMSUNGGalaxy S5 Mini               5719      1         S                             Y                               
OMD_LGLG F70                            5724      1         S                             Y                               
OMD_HTCONE E8                           5728      1         S                             Y                               
OMD SONY Z3                             5860      1         S                             Y                               
SM-G920K                                6069      1         S                             Y                               
SM-G925K                                6071      1         S                             Y                               
SM-G920KW                               6072      1         S                             Y                               
G920K_64G                               6073      1         S                             Y                               
