(KTF)AIP4-W32SA                         EE90      9         S                   20111110  Y                               
(KTF)AIP4-W32WEA                        EF30      9         S                   20111020  Y                               
(KTF)AIP4-W64S                          EF02      9         S                   20111110  Y                               
(KTF)AIP4-W64SA                         EE89      9         S                   20111110  Y                               
(KTF)AIP5-00                            EC27      9         S                   20121213  Y                               
(KTF)AIP5-16                            DN04      9         S                   20121201  Y아이폰5(16G)                   
(KTF)AIP5-16W                           DL77      9         S                   20121201  Y아이폰5(16G화이트)             
(KTF)AIP5-32                            DM50      9         S                   20121201  Y아이폰5(32G)                   
(KTF)AIP5-32W                           EC24      9         S                   20121213  Y                               
(KTF)AIP5-64                            EC23      9         S                   20121213  Y                               
(KTF)AIP5-64W                           EC22      9         S                   20121213  Y                               
(KTF)AIP5-A16                           EC42      9         S                   20121213  Y                               
(KTF)AIP5-A16W                          EC41      9         S                   20121213  Y                               
(KTF)AIP5-A32                           EC40      9         S                   20121213  Y                               
(KTF)AIP5-A32W                          DM57      9         S                   20121201  Y아이폰5(32G화이트)             
(KTF)AIP5-A64                           DM58      9         S                   20121201  Y아이폰5(64G)                   
(KTF)AIP5-A64W                          DM59      9         S                   20121201  Y아이폰5(64G화이트)             
(KTF)AIP5-AOS                           EC26      9         S                   20121213  Y                               
(KTF)AIP5-APR                           EC25      9         S                   20121213  Y                               
(KTF)AIP5-D16                           EC44      9         S                   20121213  Y                               
(KTF)AIP5-D16W                          EC43      9         S                   20121213  Y                               
(KTF)AIP5-G16                           EC39      9         S                   20121213  Y                               
(KTF)AIP5-G16W                          EC38      9         S                   20121213  Y                               
(KTF)AIP5-G32                           EC37      9         S                   20121213  Y                               
(KTF)AIP5-G32W                          EC36      9         S                   20121213  Y                               
(KTF)AIP5-G64                           EC35      9         S                   20121213  Y                               
(KTF)AIP5-G64W                          EC34      9         S                   20121213  Y                               
(KTF)AIP5-GR16                          EC33      9         S                   20121213  Y                               
(KTF)AIP5-GR16W                         EC32      9         S                   20121213  Y                               
(KTF)AIP5-GR32                          EC31      9         S                   20121213  Y                               
(KTF)AIP5-GR32W                         EC30      9         S                   20121213  Y                               
(KTF)AIP5-GR64                          EC29      9         S                   20121213  Y                               
(KTF)AIP5-GR64W                         EC28      9         S                   20121213  Y                               
(KTF)AIP5-R16                           DM51      9         S                   20121201  Y아이폰5(16G)                   
(KTF)AIP5-R16W                          DM52      9         S                   20121201  Y아이폰5(16G화이트)             
(KTF)AIP5-R32                           DM53      9         S                   20121201  Y아이폰5(32G)                   
(KTF)AIP5-R32W                          DM54      9         S                   20121201  Y아이폰5(32G화이트)             
(KTF)AIP5-R64                           DM55      9         S                   20121201  Y아이폰5(64G)                   
(KTF)AIP5-R64W                          DM56      9         S                   20121201  Y아이폰5(64G화이트)             
(KTF)AIP5C-00                           DY99      9         S                   20131025  Y                               
(KTF)AIP5C-16B                          DM75      9         S                   20131025  Y아이폰5C(16G블루)              
(KTF)AIP5C-16G                          DM74      9         S                   20131025  Y아이폰5C(16G그린)              
(KTF)AIP5C-16P                          DZ51      9         S                   20131025  Y                               
(KTF)AIP5C-16W                          DM77      9         S                   20131025  Y아이폰5C(16G화이트)            
(KTF)AIP5C-16Y                          DM76      9         S                   20131025  Y아이폰5C(16G옐로우)            
(KTF)AIP5C-32B                          DZ48      9         S                   20131025  Y                               
(KTF)AIP5C-32G                          DZ47      9         S                   20131025  Y                               
(KTF)AIP5C-32P                          DZ46      9         S                   20131025  Y                               
(KTF)AIP5C-32W                          DZ50      9         S                   20131025  Y                               
(KTF)AIP5C-32Y                          DZ49      9         S                   20131025  Y                               
(KTF)AIP5C-A16B                         DZ38      9         S                   20131025  Y                               
(KTF)AIP5C-A16G                         DZ37      9         S                   20131025  Y                               
(KTF)AIP5C-A16P                         DZ36      9         S                   20131025  Y                               
(KTF)AIP5C-A16W                         DZ40      9         S                   20131025  Y                               
(KTF)AIP5C-A16Y                         DZ39      9         S                   20131025  Y                               
(KTF)AIP5C-A32B                         DZ33      9         S                   20131025  Y                               
(KTF)AIP5C-A32G                         DZ32      9         S                   20131025  Y                               
(KTF)AIP5C-A32P                         DZ31      9         S                   20131025  Y                               
(KTF)AIP5C-A32W                         DZ35      9         S                   20131025  Y                               
(KTF)AIP5C-A32Y                         DZ34      9         S                   20131025  Y                               
(KTF)AIP5C-AOS                          DY98      9         S                   20131025  Y                               
(KTF)AIP5C-D16B                         DZ43      9         S                   20131025  Y                               
(KTF)AIP5C-D16G                         DZ42      9         S                   20131025  Y                               
(KTF)AIP5C-D16P                         DZ41      9         S                   20131025  Y                               
(KTF)AIP5C-D16W                         DZ45      9         S                   20131025  Y                               
(KTF)AIP5C-D16Y                         DZ44      9         S                   20131025  Y                               
(KTF)AIP5C-G16B                         DZ18      9         S                   20131025  Y                               
(KTF)AIP5C-G16G                         DZ17      9         S                   20131025  Y                               
(KTF)AIP5C-G16P                         DZ16      9         S                   20131025  Y                               
(KTF)AIP5C-G16W                         DZ20      9         S                   20131025  Y                               
(KTF)AIP5C-G16Y                         DZ19      9         S                   20131025  Y                               
(KTF)AIP5C-G32B                         DZ13      9         S                   20131025  Y                               
(KTF)AIP5C-G32G                         DZ12      9         S                   20131025  Y                               
(KTF)AIP5C-G32P                         DZ11      9         S                   20131025  Y                               
(KTF)AIP5C-G32W                         DZ15      9         S                   20131025  Y                               
(KTF)AIP5C-G32Y                         DZ14      9         S                   20131025  Y                               
(KTF)AIP5C-GR16B                        DZ08      9         S                   20131025  Y                               
(KTF)AIP5C-GR16G                        DZ07      9         S                   20131025  Y                               
(KTF)AIP5C-GR16P                        DZ06      9         S                   20131025  Y                               
(KTF)AIP5C-GR16W                        DZ10      9         S                   20131025  Y                               
(KTF)AIP5C-GR16Y                        DZ09      9         S                   20131025  Y                               
(KTF)AIP5C-GR32B                        DZ03      9         S                   20131025  Y                               
(KTF)AIP5C-GR32G                        DZ02      9         S                   20131025  Y                               
(KTF)AIP5C-GR32P                        DZ01      9         S                   20131025  Y                               
(KTF)AIP5C-GR32W                        DZ05      9         S                   20131025  Y                               
(KTF)AIP5C-GR32Y                        DZ04      9         S                   20131025  Y                               
(KTF)AIP5C-R16B                         DZ28      9         S                   20131025  Y                               
(KTF)AIP5C-R16G                         DZ27      9         S                   20131025  Y                               
(KTF)AIP5C-R16P                         DZ26      9         S                   20131025  Y                               
(KTF)AIP5C-R16W                         DZ30      9         S                   20131025  Y                               
(KTF)AIP5C-R16Y                         DZ29      9         S                   20131025  Y                               
(KTF)AIP5C-R32B                         DZ23      9         S                   20131025  Y                               
(KTF)AIP5C-R32G                         DZ22      9         S                   20131025  Y                               
(KTF)AIP5C-R32P                         DZ21      9         S                   20131025  Y                               
(KTF)AIP5C-R32W                         DZ25      9         S                   20131025  Y                               
(KTF)AIP5C-R32Y                         DZ24      9         S                   20131025  Y                               
(KTF)AIP5S-00                           DZ53      9         S                   20131025  Y                               
(KTF)AIP5S-16GD                         DL72      9         S                   20131025  Y아이폰5S(16G골드)              
(KTF)AIP5S-16SG                         DL73      9         S                   20131025  Y아이폰5S(16G스페이스그레이)    
(KTF)AIP5S-16SV                         DL74      9         S                   20131025  Y아이폰5S(16G실버)              
(KTF)AIP5S-32GD                         DL75      9         S                   20131025  Y아이폰5S(32G골드)              
(KTF)AIP5S-32SG                         DL76      9         S                   20131025  Y아이폰5S(32G스페이스그레이)    
(KTF)AIP5S-32SV                         DL78      9         S                   20131025  Y아이폰5S(32G실버)              
(KTF)AIP5S-64GD                         DL79      9         S                   20131025  Y아이폰5S(64G골드)              
(KTF)AIP5S-64SG                         DL80      9         S                   20131025  Y아이폰5S(64G스페이스그레이)    
(KTF)AIP5S-64SV                         DL81      9         S                   20131025  Y아이폰5S(64G실버)              
(KTF)AIP5S-A16GD                        DZ91      9         S                   20131025  Y                               
(KTF)AIP5S-A16SG                        DZ93      9         S                   20131025  Y                               
