경북사곡                                701417    700001    700278                        Y                               
경북성산                                701789    700001    700559                        Y                               
경북안덕                                701797    700001    700351                        Y                               
경북오천                                701631    700001    700310                        Y                               
경북운수                                702142    700001    700559                        Y                               
경북입암                                701953    700001    700526                        Y                               
경북천북                                701763    700001    700047                        Y                               
경북풍산                                700179    700001    700054                        Y                               
경북화산                                701920    700001    700260                        Y                               
경산                                    700674    700001    700674                        Y                               
경산가야리                              706234    700001    700674                        Y                               
경산계양                                705467    700001    700674                        Y                               
경산남부                                703448    700001    700674                        Y                               
경산대구대학교                          703470    700001    700674                        Y                               
경산대동                                705301    700001    700674                        Y                               
경산동부동                              704171    700001    700674                        Y                               
경산서상동                              703447    700001    700674                        Y                               
경산영남대학교                          703025    700001    700674                        Y                               
경산옥곡                                704528    700001    700674                        Y                               
경산옥산동                              704080    700001    700674                        Y                               
경산우방                                706317    700001    700674                        Y                               
경산중방                                706093    700001    700674                        Y                               
경산중산                                705475    700001    700674                        Y                               
경산진량공단                            704320    700001    700674                        Y                               
경상대학교                              613273    600001    610774                        Y                               
경서운수                                AA1056    AA0001    AA1056                        Y                               
경안운수                                AA1060    AA0001    AA1060                        Y                               
경원기업                                AA1034    AA0001    AA1034                        Y                               
경일대학교                              703520    700001    700674                        Y                               
경주                                    700047    700001    700047                        Y                               
경주동국대학교                          703538    700001    700047                        Y                               
경주동천동                              703900    700001    700047                        Y                               
경주모화                                709009    700001    700047                        Y                               
경주보문                                703298    700001    700047                        Y                               
경주선주                                705178    700001    700047                        Y                               
경주성건동                              703819    700001    700047                        Y                               
경주용강동                              704098    700001    700047                        Y                               
경주중부동                              703777    700001    700047                        Y                               
경주황성동                              704254    700001    700047                        Y                               
경찰종합                                103671    100002    107110                        Y                               
경찰청                                  014258    100001    013920                        Y                               
경포대                                  201780    200001    200014                        Y                               
계곡                                    501932    500001    500306                        Y                               
계남                                    401125    400001    400341                        Y                               
계룡                                    310623    300001    310045                        Y                               
계룡금암동                              310128    300001    310086                        Y                               
계룡엄사동                              312827    300001    310086                        Y                               
계명대학                                703207    700001    700039                        Y                               
계북                                    401000    400001    400341                        Y                               
계산동                                  100321    100002    107110                        Y                               
계성                                    612168    600001    610238                        Y                               
계화                                    401976    400001    400143                        Y                               
고경                                    701219    700001    700260                        Y                               
고군                                    501668    500001    500645                        Y                               
고금                                    500967    500001    500405                        Y                               
고남                                    312124    300001    310144                        Y                               
고달                                    502773    500001    500348                        Y                               
고대                                    311589    300001    310185                        Y                               
고덕                                    310615    300001    310516                        Y                               
고덕시영                                016154    100001    013102                        Y                               
고덕주공                                016147    100001    013102                        Y                               
고려대                                  012187    100001    013474                        Y                               
고령                                    700559    700001    700559                        Y                               
고로                                    702134    700001    700336                        Y                               
고부                                    400267    400001    400150                        Y                               
고북                                    311035    300001    310284                        Y                               
고산                                    400366    400001    400465                        Y                               
고삼                                    103127    100002    100164                        Y                               
고서                                    502591    500001    500280                        Y                               
고성                                    610386    600001    610386                        Y                               
고성거류                                610436    600001    610386                        Y                               
고성동해                                612200    600001    610386                        Y                               
고성미룡리                              615898    600001    610386                        Y                               
고성회화                                610808    600001    610386                        Y                               
고수                                    401539    400001    400291                        Y                               
고아                                    701169    700001    700765                        Y                               
고암                                    612341    600001    610238                        Y                               
고양가좌동                              102681    100002    104877                        Y                               
고양그린프라자                          109039    100002    104984                        Y                               
고양능곡동                              101949    100002    104984                        Y                               
고양대화동                              104919    100002    104877                        Y                               
고양덕양                                104984    100002    104984                        Y                               
고양백석동                              104521    100002    104877                        Y                               
고양본동                                103523    100002    104984                        Y                               
고양식사동                              109001    100002    104877                        Y                               
고양신도동                              104554    100002    104984                        Y                               
고양일산                                104877    100002    104877                        Y                               
고양일산2동                             101048    100002    104877                        Y                               
고양장촌                                109038    100002    104877                        Y                               
고양정발산                              104810    100002    104877                        Y                               
고양주교동                              101907    100002    104984                        Y                               
고양주엽동                              104612    100002    104877                        Y                               
고양중산                                104927    100002    104877                        Y                               
고양탄현동                              104935    100002    104877                        Y                               
고양풍산                                107433    100002    104877                        Y                               
고양행신2동                             107029    100002    104984                        Y                               
고양행신3                               107102    100002    104984                        Y                               
고양행신동                              104828    100002    104984                        Y                               
고양화전동                              103457    100002    104984                        Y                               
고전                                    611707    600001    610311                        Y                               
고제                                    611871    600001    610329                        Y                               
고창                                    400291    400001    400291                        Y                               
고창부안                                401059    400001    400291                        Y                               
고척2동                                 015057    100001    013276                        Y                               
고촌                                    103101    100002    100529                        Y                               
고한                                    201673    200001    200360                        Y                               
고흥                                    500413    500001    500413                        Y                               
고흥동일                                502880    500001    500413                        Y                               
고흥영남                                503292    500001    500413                        Y                               
고흥오천                                501029    500001    500413                        Y                               
곡성                                    500348    500001    500348                        Y                               
곡성압록                                506113    500001    500348                        Y                               
곡수                                    103333    100002    100487                        Y                               
곤명                                    611764    600001    610543                        Y                               
곤양                                    610287    600001    610543                        Y                               
곤지암                                  102137    100002    100495                        Y                               
골지                                    201855    200001    200360                        Y                               
곰소                                    400762    400001    400143                        Y                               
공검                                    701706    700001    700062                        Y                               
공근                                    201400    200001    200162                        Y                               
공덕                                    400978    400001    400218                        Y                               
공도                                    101097    100002    100164                        Y                               
공릉우성                                016113    100001    013342                        Y                               
공산                                    500942    500001    500298                        Y                               
공음                                    401554    400001    400291                        Y                               
공주                                    310045    300001    310045                        Y                               
공주교육대학교                          312462    300001    310045                        Y                               
공주대학교                              312314    300001    310045                        Y                               
공주신관동                              312744    300001    310045                        Y                               
공주장기                                310722    300001    310045                        Y                               
공주정안                                310664    300001    310045                        Y                               
과기연                                  012229    100001    013474                        Y                               
과역                                    500835    500001    500413                        Y                               
과천                                    100313    100002    104851                        Y                               
과천문원단지                            105510    100002    104851                        Y                               
과천부림                                105320    100002    104851                        Y                               
과천우면                                109036    100002    104851                        Y                               
관동대                                  202077    200001    200014                        Y                               
관인                                    102004    100002    100552                        Y                               
관촌                                    400069    400001    400176                        Y                               
관훈동                                  016618    100001    010041                        Y                               
광기                                    702571    700001    700377                        Y                               
광덕                                    312787    300001    310003                        Y                               
광덕교통                                AA1057    AA0001    AA1057                        Y                               
광도                                    612044    600001    610089                        Y                               
광명                                    103432    100002    103432                        Y                               
광명2동                                 104539    100002    103432                        Y                               
광명6동                                 104224    100002    103432                        Y                               
광명소하동                              102533    100002    103432                        Y                               
광명철산1동                             105817    100002    103432                        Y                               
광명철산2동                             104059    100002    103432                        Y                               
광명철산3동                             105825    100002    103432                        Y                               
광명철산동                              103754    100002    103432                        Y                               
광명하안3동                             104505    100002    103432                        Y                               
광석                                    311431    300001    310086                        Y                               
광시                                    310706    300001    310516                        Y                               
광암동                                  103325    100002    100834                        Y                               
광양                                    503995    500001    503995                        Y                               
광양광영                                503573    500001    503995                        Y                               
광양금호                                503516    500001    503995                        Y                               
광양덕례                                503789    500001    503995                        Y                               
광양목성                                500215    500001    503995                        Y                               
광양성황동                              501486    500001    503995                        Y                               
광양인서                                505776    500001    503995                        Y                               
광양제철                                503490    500001    503995                        Y                               
광양진상                                500140    500001    503995                        Y                               
광양태인동                              503078    500001    503995                        Y                               
광운대학                                013219    100001    013342                        Y                               
광의                                    502088    500001    500199                        Y                               
광일실업                                AA1042    AA0001    AA1042                        Y                               
광장극동                                016170    100001    012435                        Y                               
광적                                    102038    100002    100735                        Y                               
광주                                    500066    500001    500066                        Y                               
광주각화                                505107    500001    503375                        Y                               
광주계림금호                            501118    500001    503839                        Y                               
광주계림동                              501114    500001    500066                        Y                               
광주광복                                506055    500001    503839                        Y                               
광주광산                                503938    500001    503938                        Y                               
광주광천동                              503607    500001    503839                        Y                               
광주교육대학                            503557    500001    503375                        Y                               
광주금호동                              504035    500001    503839                        Y                               
광주남광                                506212    500001    500066                        Y                               
광주남산동                              501197    500001    503938                        Y                               
광주농성동                              502872    500001    503839                        Y                               
광주대성                                506048    500001    503839                        Y                               
광주대의동                              503441    500001    500066                        Y                               
광주대촌동                              502096    500001    500066                        Y                               
광주대학교                              503439    500001    500066                        Y                               
광주도덕동                              501304    500001    503938                        Y                               
광주도산동                              509004    500001    503938                        Y                               
광주동곡                                502617    500001    503938                        Y                               
광주동림2지구                           504175    500001    503375                        Y                               
광주동림동                              504050    500001    503375                        Y                               
광주동운                                506220    500001    503375                        Y                               
광주두암1동                             503797    500001    503375                        Y                               
광주두암동                              503698    500001    503375                        Y                               
광주두암삼정                            503847    500001    503375                        Y                               
광주마륵                                505891    500001    503839                        Y                               
광주매곡동                              509001    500001    503375                        Y                               
광주명지아파트                          505503    500001    503839                        Y                               
광주무진로                              504142    500001    503839                        Y                               
광주문흥동                              503888    500001    503375                        Y                               
광주밤실                                505826    500001    503375                        Y                               
광주방림동                              503599    500001    500066                        Y                               
광주백운동                              503540    500001    500066                        Y                               
광주법원                                503086    500001    500066                        Y                               
