치악산약대추                            111103    12000     11110301                      N                               
수연소면                                120804    13000     12080401                      N                               
청양국수                                120808    13000     12080801                      N                               
상계작설차                              130103    13000     13010305                      N                               
보성제다녹차                            130110    12000     13011002                      N                               
지리산둥글레차                          130203    12000     13020301                      N                               
고산감잎차                              130329    13500     13032903                      N                               
내장산치커리                            130605    10600     13060503                      N                               
가보벌꿀                                130801    13500     13080101                      N                               
평택생강꿀차                            130804    12000     13080401                      N                               
한라당유자차                            130901    10500     13090101                      N                               
제주당유자차                            130903    12000     13090301                      N                               
참향표고버섯                            150414    13000     15041406                      N                               
예천소백산표고버섯                      150415    15000     15041505                      N                               
양구감자전분                            160402    13000     16040201                      N                               
괴산참기름                              170502    13500     17050201                      N                               
홍천참기름                              170506    13500     17050604                      N                               
논산참기름                              170507    13500     17050701                      N                               
괴산고춧가루                            170804    15000     17080401                      N                               
상품권1                                 200201    10000     200201                        Y                               
상품권2                                 200202    5000      200202                        Y                               
모바일상품권1                           200203    10000     200203                        Y                               
생활용품2                               200204    5000      200204                        N                               
모바일상품권2                           200205    5000      200205                        Y                               
덕유산벌꿀                              210103    13500     21010305                      N                               
상주벌꿀                                210105    13500     21010504                      N                               
제주벌꿀                                210106    13500     21010605                      N                               
전주꿀                                  210107    13500     21010709                      N                               
봉화벌꿀                                210109    14000     21010902                      N                               
일성돌미역                              233605    15000     23360503                      N                               
여수진미어채                            310103    14000     31010303                      N                               
보령대천재래김                          330108    13000     33010801                      N                               
완도조미김                              330203    11000     33020302                      N                               
부안명가조미김                          330206    13000     33020603                      N                               
낙동김                                  330217    10500     33021702                      N                               
울릉도오징어                            350115    15000     35011502                      N                               
내설악황태                              360303    14000     36030301                      N                               
영덕붉은대게장                          412601    15000     41260101                      N                               
핸즈프리                                900001    14500     900001                        N                               
