경찰청(본청)                            O0000001  OR1001    LCA000                        Y                               
서울지방경찰청                          O0000002  OR1002    LCA000                        Y                               
서울중부경찰서                          O0000003  OR1003    LCA000                        Y                               
을지지구대                              O0000004  OR1004    LCA000                        Y                               
광희지구대                              O0000005  OR1004    LCA000                        Y                               
약수지구대                              O0000006  OR1004    LCA000                        Y                               
신당파출소                              O0000007  OR1004    LCA000                        Y                               
장충파출소                              O0000008  OR1004    LCA000                        Y                               
충무파출소                              O0000009  OR1004    LCA000                        Y                               
을지로3가파출소                         O0000010  OR1004    LCA000                        Y                               
서울종로경찰서                          O0000011  OR1003    LCA000                        Y                               
종로2가파출소                           O0000012  OR1004    LCA000                        Y                               
관수파출소                              O0000013  OR1004    LCA000                        Y                               
세검정파출소                            O0000014  OR1004    LCA000                        Y                               
평창파출소                              O0000015  OR1004    LCA000                        Y                               
청운파출소                              O0000016  OR1004    LCA000                        Y                               
옥인파출소                              O0000017  OR1004    LCA000                        Y                               
통의파출소                              O0000018  OR1004    LCA000                        Y                               
삼청파출소                              O0000019  OR1004    LCA000                        Y                               
신문로파출소                            O0000020  OR1004    LCA000                        Y                               
교남파출소                              O0000021  OR1004    LCA000                        Y                               
세종로파출소                            O0000022  OR1004    LCA000                        Y                               
청진파출소                              O0000023  OR1004    LCA000                        Y                               
사직파출소                              O0000024  OR1004    LCA000                        Y                               
서울남대문경찰서                        O0000025  OR1003    LCA000                        Y                               
회현파출소                              O0000026  OR1004    LCA000                        Y                               
명동파출소                              O0000027  OR1004    LCA000                        Y                               
중림파출소                              O0000028  OR1004    LCA000                        Y                               
남대문파출소                            O0000029  OR1004    LCA000                        Y                               
서울역파출소                            O0000030  OR1004    LCA000                        Y                               
태평로파출소                            O0000031  OR1004    LCA000                        Y                               
서소문파출소                            O0000032  OR1004    LCA000                        Y                               
서울서대문경찰서                        O0000033  OR1003    LCA000                        Y                               
홍은지구대                              O0000034  OR1004    LCA000                        Y                               
충정로지구대                            O0000035  OR1004    LCA000                        Y                               
신촌지구대                              O0000036  OR1004    LCA000                        Y                               
연희파출소                              O0000037  OR1004    LCA000                        Y                               
홍은2파출소                             O0000038  OR1004    LCA000                        Y                               
홍제파출소                              O0000039  OR1004    LCA000                        Y                               
남가좌파출소                            O0000040  OR1004    LCA000                        Y                               
북가좌파출소                            O0000041  OR1004    LCA000                        Y                               
서울혜화경찰서                          O0000042  OR1003    LCA000                        Y                               
혜화파출소                              O0000043  OR1004    LCA000                        Y                               
대학로파출소                            O0000044  OR1004    LCA000                        Y                               
명륜파출소                              O0000045  OR1004    LCA000                        Y                               
종로5가파출소                           O0000046  OR1004    LCA000                        Y                               
효제파출소                              O0000047  OR1004    LCA000                        Y                               
창신파출소                              O0000048  OR1004    LCA000                        Y                               
덕산파출소                              O0000049  OR1004    LCA000                        Y                               
동묘파출소                              O0000050  OR1004    LCA000                        Y                               
서울용산경찰서                          O0000051  OR1003    LCA000                        Y                               
원효지구대                              O0000052  OR1004    LCA000                        Y                               
용중지구대                              O0000053  OR1004    LCA000                        Y                               
이태원파출소                            O0000054  OR1004    LCA000                        Y                               
한강로파출소                            O0000055  OR1004    LCA000                        Y                               
이촌파출소                              O0000056  OR1004    LCA000                        Y                               
용산역파출소                            O0000057  OR1004    LCA000                        Y                               
보광파출소                              O0000058  OR1004    LCA000                        Y                               
서울성북경찰서                          O0000059  OR1003    LCA000                        Y                               
돈암지구대                              O0000060  OR1004    LCA000                        Y                               
안암지구대                              O0000061  OR1004    LCA000                        Y                               
길음지구대                              O0000062  OR1004    LCA000                        Y                               
정릉파출소                              O0000063  OR1004    LCA000                        Y                               
정릉2파출소                             O0000064  OR1004    LCA000                        Y                               
성북특수파출소                          O0000065  OR1004    LCA000                        Y                               
서울동대문경찰서                        O0000066  OR1003    LCA000                        Y                               
답십리지구대                            O0000067  OR1004    LCA000                        Y                               
용신지구대                              O0000068  OR1004    LCA000                        Y                               
청회파출소                              O0000069  OR1004    LCA000                        Y                               
제기파출소                              O0000070  OR1004    LCA000                        Y                               
청량리역파출소                          O0000071  OR1004    LCA000                        Y                               
전농파출소                              O0000072  OR1004    LCA000                        Y                               
장안1파출소                             O0000073  OR1004    LCA000                        Y                               
장안2파출소                             O0000074  OR1004    LCA000                        Y                               
이문파출소                              O0000075  OR1004    LCA000                        Y                               
휘경파출소                              O0000076  OR1004    LCA000                        Y                               
서울마포경찰서                          O0000077  OR1003    LCA000                        Y                               
공덕지구대                              O0000078  OR1004    LCA000                        Y                               
용강지구대                              O0000079  OR1004    LCA000                        Y                               
서강지구대                              O0000080  OR1004    LCA000                        Y                               
홍익지구대                              O0000081  OR1004    LCA000                        Y                               
월드컵지구대                            O0000082  OR1004    LCA000                        Y                               
연남파출소                              O0000083  OR1004    LCA000                        Y                               
망원파출소                              O0000084  OR1004    LCA000                        Y                               
상암파출소                              O0000085  OR1004    LCA000                        Y                               
서울영등포경찰서                        O0000086  OR1003    LCA000                        Y                               
중앙지구대                              O0000087  OR1004    LCA000                        Y                               
여의도지구대                            O0000088  OR1004    LCA000                        Y                               
양평파출소                              O0000089  OR1004    LCA000                        Y                               
당산파출소                              O0000090  OR1004    LCA000                        Y                               
문래지구대                              O0000091  OR1004    LCA000                        Y                               
신풍지구대                              O0000092  OR1004    LCA000                        Y                               
신길지구대                              O0000093  OR1004    LCA000                        Y                               
대림파출소                              O0000094  OR1004    LCA000                        Y                               
대림3파출소                             O0000095  OR1004    LCA000                        Y                               
영등포역파출소                          O0000096  OR1004    LCA000                        Y                               
서울성동경찰서                          O0000097  OR1003    LCA000                        Y                               
한양지구대                              O0000098  OR1004    LCA000                        Y                               
성수지구대                              O0000099  OR1004    LCA000                        Y                               
서울숲지구대                            O0000100  OR1004    LCA000                        Y                               
왕십리파출소                            O0000101  OR1004    LCA000                        Y                               
행당파출소                              O0000102  OR1004    LCA000                        Y                               
옥수파출소                              O0000103  OR1004    LCA000                        Y                               
금호파출소                              O0000104  OR1004    LCA000                        Y                               
응봉파출소                              O0000105  OR1004    LCA000                        Y                               
용답파출소                              O0000106  OR1004    LCA000                        Y                               
서울동작경찰서                          O0000107  OR1003    LCA000                        Y                               
노량진지구대                            O0000108  OR1004    LCA000                        Y                               
노들지구대                              O0000109  OR1004    LCA000                        Y                               
상도지구대                              O0000110  OR1004    LCA000                        Y                               
남성지구대                              O0000111  OR1004    LCA000                        Y                               
사당지구대                              O0000112  OR1004    LCA000                        Y                               
대방지구대                              O0000113  OR1004    LCA000                        Y                               
상도3파출소                             O0000114  OR1004    LCA000                        Y                               
서울광진경찰서                          O0000115  OR1003    LCA000                        Y                               
화양지구대                              O0000116  OR1004    LCA000                        Y                               
광나루지구대                            O0000117  OR1004    LCA000                        Y                               
자양파출소                              O0000118  OR1004    LCA000                        Y                               
자양1파출소                             O0000119  OR1004    LCA000                        Y                               
자양4파출소                             O0000120  OR1004    LCA000                        Y                               
중곡1파출소                             O0000121  OR1004    LCA000                        Y                               
