분실                                    1                                                 Y                               
도난                                    2                                                 Y                               
불용                                    3                                                 Y                               
개통불가                                4                                                 Y                               
해제                                    9                                                 Y                               
