0 LEVEL                                 0                                                 Y                               
1 LEVEL                                 1                                                 Y                               
2 LEVEL                                 2                                                 Y                               
3 LEVEL                                 3                                                 Y                               
4 LEVEL                                 4                                                 Y                               
5 LEVEL                                 5                                                 Y                               
6 LEVEL                                 6                                                 Y                               
7 LEVEL                                 7                                                 Y                               
8 LEVEL                                 8                                                 Y                               
9 LEVEL                                 9                                                 Y                               
