정상단말기                              0000                                              Y                               
배터리무                                0001                                              Y                               
안테나무                                0010                                              Y                               
배터리+안테나무                         0011                                              Y                               
플립무                                  0100                                              Y                               
배터리+플립무                           0101                                              Y                               
안테나+플립무                           0110                                              Y                               
배터리+안테나+플립무                    0111                                              Y                               
작동불가                                1111                                              Y                               
