1È£                                     1         920                                     Y                               
2È£                                     2         630                                     Y                               
3È£                                     3         480                                     Y                               
4È£                                     4         330                                     Y                               
5È£                                     5         280                                     Y                               
6È£                                     6         0                                       Y                               
¿ìÃ¼±¹(¾ø½¿)                            7                                                 Y                               
ÇùÈ¸(¾ø½¿)                              9                                                 Y                               
